Sentiment,Clean_Text,label,sequence
neutral,according to gran the company has no plans to move all production to russia although that is where the company is growing,1,"[76, 6, 3248, 2, 13, 18, 204, 279, 6, 578, 107, 70, 6, 123, 2577, 29, 11, 358, 2, 13, 11, 667, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
neutral,technopolis plans to develop in stages an area of no less than square meters in order to host companies working in computer technologies and telecommunications the statement said,1,"[751, 279, 6, 790, 4, 1661, 34, 162, 3, 204, 1072, 87, 551, 1662, 4, 105, 6, 3249, 78, 710, 4, 1156, 501, 5, 668, 2, 835, 22, 0, 0, 0, 0, 0, 0, 0]"
negative,the international electronic industry company elcoteq has laid off tens of employees from its tallinn facility contrary to earlier layoffs the company contracted the ranks of its office workers the daily postimees reported,0,"[2, 242, 579, 122, 13, 280, 18, 1157, 324, 3250, 3, 139, 14, 16, 1073, 235, 1, 6, 126, 502, 2, 13, 2158, 2, 1, 3, 16, 221, 877, 2, 791, 1, 205, 0, 0]"
positive,with the new production plant the company would increase its capacity to meet the expected increase in demand and would improve the use of raw materials and therefore increase the production profitability,2,"[19, 2, 41, 70, 82, 2, 13, 111, 94, 16, 222, 6, 1356, 2, 133, 94, 4, 434, 5, 111, 580, 2, 184, 3, 612, 456, 5, 1492, 94, 2, 70, 1074, 0, 0, 0]"
positive,according to the company s updated strategy for the years basware targets a longterm net sales growth in the range of with an operating profit margin of of net sales,2,"[76, 6, 2, 13, 10, 2159, 292, 9, 2, 223, 252, 989, 7, 457, 30, 27, 168, 4, 2, 316, 3, 19, 34, 37, 31, 435, 3, 3, 30, 27, 0, 0, 0, 0, 0]"
positive,financing of aspocomp s growth aspocomp is aggressively pursuing its growth strategy by increasingly focusing on technologically more demanding hdi printed circuit boards pcbs,2,"[792, 3, 479, 10, 168, 479, 11, 1, 1, 16, 168, 292, 20, 2160, 1357, 15, 3251, 95, 1663, 1, 1358, 1075, 1664, 2578, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,for the last quarter of componenta s net sales doubled to eurm from eurm for the same period a year earlier while it moved to a zero pretax profit from a pretax loss of eurm,2,"[9, 2, 127, 45, 3, 581, 10, 30, 27, 1889, 6, 103, 14, 103, 9, 2, 136, 43, 7, 40, 126, 152, 26, 2161, 6, 7, 1, 271, 31, 14, 7, 271, 59, 3, 103]"
positive,in the third quarter of net sales increased by to eur mn and operating profit by to eur mn,2,"[4, 2, 149, 45, 3, 30, 27, 88, 20, 6, 8, 17, 5, 37, 31, 20, 6, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit rose to eur mn from eur mn in the corresponding period in representing of net sales,2,"[37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 2, 81, 43, 4, 752, 3, 30, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,operating profit totalled eur mn up from eur mn in representing of net sales,2,"[37, 31, 216, 8, 17, 55, 14, 8, 17, 4, 752, 3, 30, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,teliasonera tlsn said the offer is in line with its strategy to increase its ownership in core business holdings and would strengthen eesti telekom s offering to its customers,2,"[413, 3252, 22, 2, 306, 11, 4, 172, 19, 16, 292, 6, 94, 16, 990, 4, 793, 42, 711, 5, 111, 794, 1359, 1, 10, 458, 6, 16, 98, 0, 0, 0, 0, 0, 0]"
positive,stora enso norske skog mreal upmkymmene credit suisse first boston cfsb raised the fair value for shares in four of the largest nordic forestry groups,2,"[259, 281, 2579, 2580, 390, 638, 346, 3253, 53, 1, 1, 878, 2, 669, 104, 9, 52, 4, 414, 3, 2, 212, 206, 1271, 1493, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,a purchase agreement for tons of gasoline with delivery at the hamina terminal finland was signed with neste oil oyj at the average platts index for this september plus eight us dollars per month,2,"[7, 391, 91, 9, 879, 3, 3254, 19, 415, 25, 2, 1890, 991, 33, 32, 143, 19, 459, 198, 44, 25, 2, 1158, 1, 522, 9, 54, 171, 1159, 1360, 99, 1494, 72, 416, 0]"
positive,finnish talentum reports its operating profit increased to eur mn in from eur mn in and net sales totaled eur mn up from eur mn,2,"[24, 795, 417, 16, 37, 31, 88, 6, 8, 17, 4, 14, 8, 17, 4, 5, 30, 27, 231, 8, 17, 55, 14, 8, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
positive,clothing retail chain seppl s sales increased by to eur mn and operating profit rose to eur mn from eur mn in,2,"[753, 293, 359, 3255, 10, 27, 88, 20, 6, 8, 17, 5, 37, 31, 97, 6, 8, 17, 14, 8, 17, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
